% time	cellId	IMSI	RNTI	rsrp	sinr
0.0872143	1	2	2	1.07682e-09	2.27013e+06
0.0882143	1	1	1	5.4396e-10	1.14677e+06
0.0882143	1	2	2	1.07682e-09	2.27013e+06
0.0892143	1	1	1	5.4396e-10	1.14677e+06
0.0892143	1	2	2	1.07682e-09	2.27013e+06
0.0902143	1	1	1	5.4396e-10	1.14677e+06
0.0902143	1	2	2	1.07682e-09	2.27013e+06
0.0912143	1	1	1	5.4396e-10	1.14677e+06
0.0912143	1	2	2	1.07682e-09	2.27013e+06
0.0922143	1	1	1	5.4396e-10	1.14677e+06
0.0922143	1	2	2	1.07682e-09	2.27013e+06
0.0932143	1	1	1	5.4396e-10	1.14677e+06
0.0932143	1	2	2	1.07682e-09	2.27013e+06
0.0942143	1	1	1	5.4396e-10	1.14677e+06
0.0942143	1	2	2	1.07682e-09	2.27013e+06
0.0952143	1	1	1	5.4396e-10	1.14677e+06
0.0952143	1	2	2	1.07682e-09	2.27013e+06
0.0962143	1	1	1	5.4396e-10	1.14677e+06
0.0962143	1	2	2	1.07682e-09	2.27013e+06
0.0972143	1	1	1	5.4396e-10	1.14677e+06
0.0972143	1	2	2	1.07682e-09	2.27013e+06
0.0982143	1	1	1	5.4396e-10	1.14677e+06
0.0982143	1	2	2	1.07682e-09	2.27013e+06
0.0992143	1	1	1	5.4396e-10	1.14677e+06
0.0992143	1	2	2	1.07682e-09	2.27013e+06
0.100214	1	1	1	5.4396e-10	1.14677e+06
0.100214	1	2	2	1.07682e-09	2.27013e+06
0.101214	1	1	1	5.4396e-10	1.14677e+06
0.101214	1	2	2	1.07682e-09	2.27013e+06
0.102214	1	1	1	5.4396e-10	1.14677e+06
0.102214	1	2	2	1.07682e-09	2.27013e+06
0.103214	1	1	1	5.4396e-10	1.14677e+06
0.103214	1	2	2	1.07682e-09	2.27013e+06
0.104214	1	1	1	5.4396e-10	1.14677e+06
0.104214	1	2	2	1.07682e-09	2.27013e+06
0.105214	1	1	1	5.4396e-10	1.14677e+06
0.105214	1	2	2	1.07682e-09	2.27013e+06
0.106214	1	1	1	5.4396e-10	1.14677e+06
0.106214	1	2	2	1.07682e-09	2.27013e+06
0.107214	1	1	1	5.4396e-10	1.14677e+06
0.107214	1	2	2	1.07682e-09	2.27013e+06
0.108214	1	1	1	5.4396e-10	1.14677e+06
0.108214	1	2	2	1.07682e-09	2.27013e+06
0.109214	1	1	1	5.4396e-10	1.14677e+06
0.109214	1	2	2	1.07682e-09	2.27013e+06
0.110214	1	1	1	5.4396e-10	1.14677e+06
0.110214	1	2	2	1.07682e-09	2.27013e+06
0.111214	1	1	1	5.4396e-10	1.14677e+06
0.111214	1	2	2	1.07682e-09	2.27013e+06
0.112214	1	1	1	5.4396e-10	1.14677e+06
0.112214	1	2	2	1.07682e-09	2.27013e+06
0.113214	1	1	1	5.4396e-10	1.14677e+06
0.113214	1	2	2	1.07682e-09	2.27013e+06
0.114214	1	1	1	5.4396e-10	1.14677e+06
0.114214	1	2	2	1.07682e-09	2.27013e+06
0.115214	1	1	1	5.4396e-10	1.14677e+06
0.115214	1	2	2	1.07682e-09	2.27013e+06
0.116214	1	1	1	5.4396e-10	1.14677e+06
0.116214	1	2	2	1.07682e-09	2.27013e+06
0.117214	1	1	1	5.4396e-10	1.14677e+06
0.117214	1	2	2	1.07682e-09	2.27013e+06
0.118214	1	1	1	5.4396e-10	1.14677e+06
0.118214	1	2	2	1.07682e-09	2.27013e+06
0.119214	1	1	1	5.4396e-10	1.14677e+06
0.119214	1	2	2	1.07682e-09	2.27013e+06
0.120214	1	1	1	5.4396e-10	1.14677e+06
0.120214	1	2	2	1.07682e-09	2.27013e+06
0.121214	1	1	1	5.4396e-10	1.14677e+06
0.121214	1	2	2	1.07682e-09	2.27013e+06
0.122214	1	1	1	5.4396e-10	1.14677e+06
0.122214	1	2	2	1.07682e-09	2.27013e+06
0.123214	1	1	1	5.4396e-10	1.14677e+06
0.123214	1	2	2	1.07682e-09	2.27013e+06
0.124214	1	1	1	5.4396e-10	1.14677e+06
0.124214	1	2	2	1.07682e-09	2.27013e+06
0.125214	1	1	1	5.4396e-10	1.14677e+06
0.125214	1	2	2	1.07682e-09	2.27013e+06
0.126214	1	1	1	5.4396e-10	1.14677e+06
0.126214	1	2	2	1.07682e-09	2.27013e+06
0.127214	1	1	1	5.4396e-10	1.14677e+06
0.127214	1	2	2	1.07682e-09	2.27013e+06
0.128214	1	1	1	5.4396e-10	1.14677e+06
0.128214	1	2	2	1.07682e-09	2.27013e+06
0.129214	1	1	1	5.4396e-10	1.14677e+06
0.129214	1	2	2	1.07682e-09	2.27013e+06
0.130214	1	1	1	5.4396e-10	1.14677e+06
0.130214	1	2	2	1.07682e-09	2.27013e+06
0.131214	1	1	1	5.4396e-10	1.14677e+06
0.131214	1	2	2	1.07682e-09	2.27013e+06
0.132214	1	1	1	5.4396e-10	1.14677e+06
0.132214	1	2	2	1.07682e-09	2.27013e+06
0.133214	1	1	1	5.4396e-10	1.14677e+06
0.133214	1	2	2	1.07682e-09	2.27013e+06
0.134214	1	1	1	5.4396e-10	1.14677e+06
0.134214	1	2	2	1.07682e-09	2.27013e+06
0.135214	1	1	1	5.4396e-10	1.14677e+06
0.135214	1	2	2	1.07682e-09	2.27013e+06
0.136214	1	1	1	5.4396e-10	1.14677e+06
0.136214	1	2	2	1.07682e-09	2.27013e+06
0.137214	1	1	1	5.4396e-10	1.14677e+06
0.137214	1	2	2	1.07682e-09	2.27013e+06
0.138214	1	1	1	5.4396e-10	1.14677e+06
0.138214	1	2	2	1.07682e-09	2.27013e+06
0.139214	1	1	1	5.4396e-10	1.14677e+06
0.139214	1	2	2	1.07682e-09	2.27013e+06
0.140214	1	1	1	5.4396e-10	1.14677e+06
0.140214	1	2	2	1.07682e-09	2.27013e+06
0.141214	1	1	1	5.4396e-10	1.14677e+06
0.141214	1	2	2	1.07682e-09	2.27013e+06
0.142214	1	1	1	5.4396e-10	1.14677e+06
0.142214	1	2	2	1.07682e-09	2.27013e+06
0.143214	1	1	1	5.4396e-10	1.14677e+06
0.143214	1	2	2	1.07682e-09	2.27013e+06
0.144214	1	1	1	5.4396e-10	1.14677e+06
0.144214	1	2	2	1.07682e-09	2.27013e+06
0.145214	1	1	1	5.4396e-10	1.14677e+06
0.145214	1	2	2	1.07682e-09	2.27013e+06
0.146214	1	1	1	5.4396e-10	1.14677e+06
0.146214	1	2	2	1.07682e-09	2.27013e+06
